pitch,yaw,roll
88.37530500813517,-2.3273086547851562,0.17767325259248148
87.8098586863972,-2.7385902404785156,0.006617133171823975
88.51040194855089,-2.502002716064453,0.023665164502794364
88.51040194855089,-2.502002716064453,0.023665164502794364
88.04815434963967,-2.6940345764160156,-0.08356247037536493
88.65496670246468,-2.293853759765625,0.14406292998080358
88.65496670246468,-2.293853759765625,0.14406292998080358
88.34981055264113,-2.2257041931152344,0.1212311109375854
88.13498628162242,-2.2217369079589844,0.03450677639695229
88.13498628162242,-2.2217369079589844,0.03450677639695229
88.23718112869051,-2.5563812255859375,-0.09032736287129584
88.2024608085228,-2.64739990234375,0.027885941560321696
88.2024608085228,-2.64739990234375,0.027885941560321696
88.42211413827921,-2.48931884765625,0.012294554548257597
88.64644443319575,-2.225170135498047,0.029855223665662053
88.64644443319575,-2.225170135498047,0.029855223665662053
88.78456985836122,-2.2251510620117188,0.30586329830170883
88.70134898410481,-2.391834259033203,0.14672533449098527
88.70134898410481,-2.391834259033203,0.14672533449098527
88.93381775938742,-1.0128593444824219,0.31837827158319504
89.42501987397173,-1.4062690734863281,0.2859542809105533
89.42501987397173,-1.4062690734863281,0.2859542809105533
89.54453443693914,-1.6531753540039062,0.08506292287655771
89.54358707500772,-1.5242958068847656,-0.030629472343602675
89.54358707500772,-1.5242958068847656,-0.030629472343602675
88.72882934013957,-1.5950202941894531,0.24658281139279442
89.51632784697624,-1.0629844665527344,0.274036666391791
89.51632784697624,-1.0629844665527344,0.274036666391791
89.44136350423355,-0.8366012573242188,0.06612193592606734
89.57389837371815,-0.7292366027832031,0.056114974498340804
89.57389837371815,-0.7292366027832031,0.056114974498340804
89.67500721333094,-0.990447998046875,-0.06591690495945597
89.40115044705837,-0.9702301025390625,0.013791322197440076
89.40115044705837,-0.9702301025390625,0.013791322197440076
89.4766160303425,-0.9449577331542969,0.026437691559239463
89.4289054835889,-0.8036613464355469,-0.05508667645970796
89.4289054835889,-0.8036613464355469,-0.05508667645970796
89.80155816353422,-0.404205322265625,-0.03258454204368557
89.6293927911544,-0.35755157470703125,-0.06281336472625781
89.6293927911544,-0.35755157470703125,-0.06281336472625781
89.53270353489937,-0.21728515625,0.022989274828445743
90.12261845423303,0.12983322143554688,-0.1140767606372901
90.12261845423303,0.12983322143554688,-0.1140767606372901
89.81619648261373,-0.2954673767089844,-0.2740266366875782
89.70351077112332,-0.3655052185058594,-0.19376853175420464
89.70351077112332,-0.3655052185058594,-0.19376853175420464
89.42024099239843,-0.2656745910644531,0.015187393073998188
89.71145330576267,-0.26515960693359375,-0.22130319989182495
89.71145330576267,-0.26515960693359375,-0.22130319989182495
89.47607175190372,-0.4278564453125,-0.0789509888876271
89.33650416774115,-0.6180572509765625,-0.22631042106536486
89.33650416774115,-0.6180572509765625,-0.22631042106536486
88.7678150853323,-0.5017471313476562,-0.3523876684289793
88.53570741460993,-0.9039115905761719,-0.240547769278579
88.53570741460993,-0.9039115905761719,-0.240547769278579
89.35746230151189,-0.6909751892089844,-0.25381385059452916
89.25440441133934,-0.36590576171875,-0.11846210438951213
89.25440441133934,-0.36590576171875,-0.11846210438951213
89.024418190328,-0.4643821716308594,-0.1847224803005903
88.89996868591967,-0.4391670227050781,-0.3017874941479211
88.89996868591967,-0.4391670227050781,-0.3017874941479211
89.18249385711744,-0.3433799743652344,-0.25834923826734196
89.07353450090594,-0.4746055603027344,-0.25295327581776506
89.07353450090594,-0.4746055603027344,-0.25295327581776506
89.17444352696832,-0.18222808837890625,-0.2430899761354535
